DATE,CCSA
1967/1/7,1134000
1967/1/14,1119000
1967/1/21,1119000
1967/1/28,1103000
1967/2/4,1131000
1967/2/11,1153000
1967/2/18,1167000
1967/2/25,1199000
1967/3/4,1235000
1967/3/11,1234000
1967/3/18,1236000
1967/3/25,1268000
1967/4/1,1291000
1967/4/8,1273000
1967/4/15,1278000
1967/4/22,1277000
1967/4/29,1286000
1967/5/6,1308000
1967/5/13,1284000
1967/5/20,1265000
1967/5/27,1253000
1967/6/3,1265000
1967/6/10,1251000
1967/6/17,1248000
1967/6/24,1220000
1967/7/1,1193000
1967/7/8,1248000
1967/7/15,1258000
1967/7/22,1252000
1967/7/29,1280000
1967/8/5,1240000
1967/8/12,1215000
1967/8/19,1202000
1967/8/26,1180000
1967/9/2,1204000
1967/9/9,1189000
1967/9/16,1179000
1967/9/23,1178000
1967/9/30,1157000
1967/10/7,1165000
1967/10/14,1189000
1967/10/21,1174000
1967/10/28,1161000
1967/11/4,1176000
1967/11/11,1142000
1967/11/18,1133000
1967/11/25,1142000
1967/12/2,1150000
1967/12/9,1153000
1967/12/16,1188000
1967/12/23,1195000
1967/12/30,1167000
1968/1/6,1158000
1968/1/13,1187000
1968/1/20,1191000
1968/1/27,1157000
1968/2/3,1173000
1968/2/10,1175000
1968/2/17,1143000
1968/2/24,1165000
1968/3/2,1151000
1968/3/9,1147000
1968/3/16,1143000
1968/3/23,1136000
1968/3/30,1119000
1968/4/6,1079000
1968/4/13,1079000
1968/4/20,1059000
1968/4/27,1087000
1968/5/4,1079000
1968/5/11,1091000
1968/5/18,1071000
1968/5/25,1073000
1968/6/1,1063000
1968/6/8,1097000
1968/6/15,1071000
1968/6/22,1060000
1968/6/29,1038000
1968/7/6,1097000
1968/7/13,1076000
1968/7/20,1033000
1968/7/27,1036000
1968/8/3,1072000
1968/8/10,1088000
1968/8/17,1107000
1968/8/24,1094000
1968/8/31,1064000
1968/9/7,1067000
1968/9/14,1044000
1968/9/21,1047000
1968/9/28,1048000
1968/10/5,1060000
1968/10/12,1045000
1968/10/19,1035000
1968/10/26,1033000
1968/11/2,1028000
1968/11/9,1028000
1968/11/16,1076000
1968/11/23,1023000
1968/11/30,1056000
1968/12/7,1063000
1968/12/14,1061000
1968/12/21,1063000
